0,intervention,tourniquet,control
1,transfusion rates,7 %,79 %

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,fulvestrant,anastrozole
1,died,319 ( 74.5 % ),322 ( 76.1 % )

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,fulvestrant,anastrozole
1,median overall survival,27.4 months,27.7 months

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,q.d,b.i.d
1,15-year actuarial locoregional recurrence rate,7 %,12 %

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,q.d,b.i.d
1,rates of severe acute toxicity,4 %,5 %
2,moist desquamation developed,,42 %

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,q.d,b.i.d.
1,15-year actuarial rate of severe late RT complications,6 %,11 %

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,instruction,control
1,breast cancers detected,864,
2,breast cancer deaths,133,130
3,breast cancers were detected,,896

,Outcomes

,Outcomes,Arm 2,Arm 1
0,intervention,exemestane,tamoxifen
1,daily hot flashes increasing from baseline,7 %,33 %

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,group A,B
1,objective response rate,18 %,27.5 %

,Outcomes

,Outcomes,Arm 2
0,intervention,group B
1,rate and grade 3 and 4 neutropenia,23

,Outcomes

,Outcomes,Arm 1
0,intervention,tented
1,mean duration of air leak,4.9 +/- 1.79
2,hospital stay cost per patient,3840 +/- 298
3,length of postoperative in-hospital stay in days,9.4 +/- 1.86
4,number of days of a chest tube duration,7.3 +/- 1.14

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,local,central evaluations
1,HER2 overexpression/amplification,37.3 % ( 91/244 ),17.9 % ( 41/229 )

,Outcomes

,Outcomes

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,PSA-D,PSA-T
1,area under the ROC curve,0.77,0.79

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,arm A,arm B
1,response rates,22.0,28.9 %

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,arm A,arm B
1,Median time to treatment failure,3.6 months,4.8 months

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,arm A,arm B
1,Median time to progression,4.1 months,5.5 months

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,arm A,arm B
1,Median survival time,15.5 months,18.8 months

,Outcomes

,Outcomes,Arm 2,Arm 1
0,intervention,bimatoprost,latanoprost
1,ocular hyperaemia,22 subjects (37.9%),13 subjects (22.4%)

,Outcomes

,Outcomes,Arm 2,Arm 1
0,intervention,TRA/TIM group,TRA/TIM BAK-free group
1,most common drug-related adverse event was hyperemia of the eye (ocular hyperemia and conjunctival hyperemia combined),13.0%,11.8%

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,350-,500-
1,postoperative visual acuities remained within one line of the preoperative visual acuities or improved,62%,66%

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,T2345,BPL
1,global subjective ocular symptom score,0.18,0.46

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,Brimonidine,timolol
1,reduction in intraocular pressure,6.5 mm Hg,
2,mean peak reduction in IOP,,6.1 mm Hg

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,alginate,standard
1,mean reductions from baseline in intraocular pressure,6.32+/-2.87,5.67+/-3.30

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,BTFC,TTFC
1,Mean IOP reductions,11.17,7.89

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,brimonidine-timolol,timolol
1,mean additional reduction from latanoprost-treated baseline IOP,8.3 mmHg (35.5%),6.2 mmHg (27.0%)

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,BSS Plus,Ringer
1,CV increase,23.0 ± 3.0%,20.2 ± 4.0%

,Outcomes

,Outcomes,Arm 2,Arm 1
0,intervention,latanoprost/timolol,bimatoprost
1,mean IOP levels,13.83,16.16

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,brimonidine,latanoprost
1,enrolled,66,61

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,tafluprost,timolol
1,conjunctival hyperemia,4.4%,1.2%

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,latanoprost plus timolol group,dorzolamide plus timolol group
1,mean diurnal intraocular pressure reduction after 3 months,-7.06 mm Hg,-4.44 mm Hg

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,study group,control group
1,mean baseline intraocular pressure,23.8 +/- 12.6 mmHg,25.9 +/- 10.6 mmHg

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,Ahmed,Baerveldt
1,Mean durations of follow-up,20.0 months,22.9 months

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,Ahmed,Baerveldt
1,Cumulative successes,0.73,0.92

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,laser,control
1,proportion of eyes started on medical treatment,8 eyes (15%),9 eyes (17%)

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,study group,control group
1,completed the study (follow-up of 12 mo),18,25

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,latanoprost group,dorzolamide/timolol group
1,mean (standard error of mean [SE]) IOP reductions,month 3 was 7.3 (0.4),7.4 (0.3)

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,fixed-combination,latanoprost
1,at least 1 treatment-emergent AE,10.9%,12.1%

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,brimonidine,timolol
1,Clinical success,71% (75/106),70% (73/105)

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,lidocaine,BSS
1,pain,45.1%,53.7%

,Outcomes

,Outcomes,Arm 2
0,intervention,dorzolamide
1,corresponding figures,5.6 (2.6) mm Hg

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,SLT,ALT
1,mean decrease in IOP,5.86 mm Hg,6.04 mm Hg

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,350-mm2,500-mm2
1,Visual acuities were better or remained the same,50%,46%

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,viscocanalostomy group,trabeculectomy group
1,Mean baseline IOP,24.0+/-2.0 mmHg,23.7+/-2.6 mmHg

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,standard trabeculectomy,microtrabeculectomy
1,mean intraocular pressure and cumulative probability of failure,12.4 ± 4.6 mmHg and 0.28,11.5 ± 3.6 mmHg and 0.27

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,brimonidine,latanoprost
1,clinical success at month 3,91%,74%

,Outcomes

,Outcomes,Arm 2,Arm 1
0,intervention,Ex-PRESS,trabeculectomy
1,mean pre-operative IOP decreased,28.1 (± 9.0) to 15.7 (± 1.8) mm Hg,31.1 (± 14.2) to 16.2 (± 1.5) mm Hg

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,Latanoprost 0.005%,latanoprost 0.0015%
1,reduced IOP (+/- SEM),9.8 +/- 0.9 mm Hg,6.7 +/- 0.9 mm Hg

,Outcomes

,Outcomes,Arm 1
0,intervention,ologen
1,absolute success rate,50%

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,Latanoprost,bimatoprost
1,reduced IOP (mean (SD)),8.4 (3.8) mm Hg,8.9 (3.9) mm Hg

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,lidocaine,BSS
1,median pain score (range),0.0,1.0

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,MMC,control
1,probability of success at 18 months,62%,67%

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,brimonidine,timolol
1,clinical success rate,86.2%,81.8%

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,350-,500-
1,anterior uveitis,14%,11%
2,serous choroidal effusion,16%,32%
3,strabismus,16%,19%

,Outcomes

,Outcomes,Arm 2,Arm 1
0,intervention,latanoprost,dorzolamide/timolol
1,mean daytime diurnal IOP,18.4 mmHg,17.4 mmHg

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,5-FU,MMC
1,intraocular pressures,14.2 +/- 5.5,
2,less than or equal to 12 mmHg,21.1%,60.0%

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,laser,control
1,converted to glaucoma,15%,6%

,Outcomes

,Outcomes,Arm 1
0,intervention,alginate
1,blurred vision sensation,2 out of 74 patients

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,group A,group B
1,shallower anterior chamber,14 eyes,7 eyes

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,latanoprost,timolol
1,Responder rates,72%,57%

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,MMC,OLO
1,mean preoperative IOP,26.5 (±5.2),27.3 (±6.0)

,Outcomes

